lectureName,lectureID,professor,department,lectureType
임프로비제이션을 위한 기악 합주 1,IC004200,정이령,현대실용음악학과,핵심전공
전공실기1,IC000100,신기남,현대실용음악학과,핵심전공
공통 영어 스피치와 프레젠테이션 Ⅲ,SA020300,수잔 홀랜드,교양학부,공통교양
화폐금융론,BE000200,김원기,경제학과,심화전공
오픈소스 응용,LC002800,박지웅,컴퓨터공학과,심화전공
뉴스 바로 보기,SS079000,김진각,교양학부,핵심교양
대본 분석과 인물 창조1,IB003100,권호영,미디어영상연기학과,심화전공
일반물리실험,LE000600,조명원,청정융합에너지공학과,핵심전공
3D프린팅,FE092400,최인환,산업디자인과,심화전공
프랑스 역사와 문화,AJ003100,이선우,프랑스어문·문화학과,심화전공
현대대수학 3,CA051500,신용수,수학과,심화전공
융합무용기초,IZ000200,유지연,융합문화예술대학,핵심전공
공통 영어 스피치와 프레젠테이션 Ⅱ,SA020200,니노슬라브 란제로빅,교양학부,공통교양
국제경제학,BE040900,김원기,경제학과,심화전공
사회복지정책론,DD020700,이승기,사회복지학과,핵심전공
리더십,SS012000,공평원,교양학부,진로소양
뮤지컬 워크숍 1,GC003700,김기연,작곡과,심화전공
교육행정 및 교육경영,TE060600,임성연,교육학과,교직
학습과 기억,BC040700,박형생,심리학과,핵심전공
도자리빙디자인 1,FD004100,권성은,공예과,심화전공
승마,DE022100,이금주,스포츠레저학과,핵심전공
고급중국어 연습과 토론,AL002200,리우 나,중국어문·문화학과,심화전공
영양생화학,DB000500,이명숙,식품영양학과,핵심전공
금융과 금융교육,EB061800,박형준,사회교육과,핵심전공
생물공정공학,LG001300,백영빈,바이오생명공학과,심화전공
전공이론 및 악기(A) 5,GC055500,정이은,작곡과,심화전공
시민교육론,EC002000,김혜수,윤리교육과,심화전공
전공실기 7,GB043600,이재완,기악과,심화전공
전공실기 3,GB041300,박성진,기악과,핵심전공
실용영어 스피치와 프리젠테이션,AB001300,마이클 엘리어트,영어영문학과,핵심전공
스포츠심리학,DE000500,성용석,스포츠레저학과,심화전공
전공실기 7,IC002900,정민영,현대실용음악학과,심화전공
움직임과 표현 1,ID003100,김슬기,무용예술학과,핵심전공
기초메이크업,PB000400,김희진,뷰티산업학과,핵심전공
"한국사,  뿌리깊은 이야기",KU013100,미정,학사운영팀,일반교양
공중보건과 위생,PB001600,조선영,뷰티산업학과,핵심전공
"클릭, 생활 속의 현대미술",SS077900,구진경,교양학부,핵심교양
수학 교과교육론,CA032100,정해남,수학과,심화전공
비판적 사고와 토론,SA011100,강희경,교양학부,공통교양
전공실기 1,ID003000,김슬기,무용예술학과,핵심전공
사회과학방법론,EB001200,조대훈,사회교육과,심화전공
냉전사의 이해,AG032500,홍석률,사학과,심화전공
